sample_id,voice_id,voice_name,gender,accent,age_group,sentence_id,sentence_text,augmentation_type,filepath,duration_seconds
Sarah_american_s01_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Sarah_american/clean/sentence_01.wav,2.8328333333333333
Sarah_american_s02_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Sarah_american/clean/sentence_02.wav,2.322
Sarah_american_s03_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,3,She sells seashells by the seashore,clean,audio/Sarah_american/clean/sentence_03.wav,2.13625
Sarah_american_s04_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Sarah_american/clean/sentence_04.wav,3.0650416666666667
Sarah_american_s05_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Sarah_american/clean/sentence_05.wav,2.5542083333333334
Sarah_american_s06_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,6,"Hello, how are you?",clean,audio/Sarah_american/clean/sentence_06.wav,1.2074583333333333
Sarah_american_s07_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,7,I'd like to schedule a meeting for next Tuesday afternoon,clean,audio/Sarah_american/clean/sentence_07.wav,3.1115
Sarah_american_s08_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,8,"In the modern world, artificial intelligence is transforming how we communicate and interact with technology on a daily basis",clean,audio/Sarah_american/clean/sentence_08.wav,7.244625
Sarah_american_s09_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,9,The conference is scheduled for three o'clock tomorrow,clean,audio/Sarah_american/clean/sentence_09.wav,2.972166666666667
Sarah_american_s10_clean,Sarah_american,"Sarah - Mature, Reassuring, Confident",female,american,unknown,10,Please review the quarterly report before the deadline,clean,audio/Sarah_american/clean/sentence_10.wav,2.7399583333333335
Alice_british_s01_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,1,The quick brown fox jumps over the lazy dog,clean,audio/Alice_british/clean/sentence_01.wav,3.0185833333333334
Alice_british_s02_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,2,Pack my box with five dozen liquor jugs,clean,audio/Alice_british/clean/sentence_02.wav,2.3684583333333333
Alice_british_s03_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,3,She sells seashells by the seashore,clean,audio/Alice_british/clean/sentence_03.wav,2.1826666666666665
Alice_british_s04_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,4,"Um... so the weather is, like, really nice today",clean,audio/Alice_british/clean/sentence_04.wav,3.390125
Alice_british_s05_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,5,"I think—no wait—let me check that again, yeah",clean,audio/Alice_british/clean/sentence_05.wav,3.204375
Alice_british_s06_clean,Alice_british,"Alice - Clear, Engaging Educator",female,british,unknown,6,"Hello, how are you?",clean,audio/Alice_british/clean/sentence_06.wav,1.4860833333333334
